대학,학년도,전형구분,전형,모집단위,모집,경쟁률,충원,50%cut,70%cut,canon2026
성균관대,2024,학생부교과,학생부교과(학교장추천),한문교육과,5,8.6,5,98.43,98.43,
성균관대,2024,학생부교과,학생부교과(학교장추천),한문학과,20,6.8,16,98.25,98.13,
성균관대,2024,학생부종합,학생부종합(계열모집),경영학과,70,13.8,143,2.34,3.04,
성균관대,2024,학생부종합,학생부종합(계열모집),글로벌융합학부,20,28.0,71,2.49,2.77,
성균관대,2024,학생부종합,학생부종합(계열모집),사회과학계열,50,28.4,197,2.16,2.87,
성균관대,2024,학생부종합,학생부종합(계열모집),인문과학계열,41,26.6,176,3.19,3.47,
성균관대,2024,학생부종합,학생부종합(고른기회),사회과학계열,5,32.8,15,1.85,2.29,
성균관대,2024,학생부종합,학생부종합(고른기회),인문과학계열,7,17.7,4,2.99,3.37,
성균관대,2024,학생부종합,학생부종합(과학인재),글로벌바이오메디컬공학과,20,11.8,54,4.51,4.8,
성균관대,2024,학생부종합,학생부종합(정원외 특별),교육학과한문교육과수학교육과컴퓨터교육과,4,9.5,2,3.48,3.48,
성균관대,2024,학생부종합,학생부종합(학과모집),교육학과,15,23.2,27,2.16,2.79,
성균관대,2024,학생부종합,학생부종합(학과모집),글로벌경영학과,47,14.6,183,3.05,3.26,
성균관대,2024,학생부종합,학생부종합(학과모집),글로벌경제학과,40,10.8,76,3.13,3.26,
성균관대,2024,학생부종합,학생부종합(학과모집),글로벌리더학부,25,20.3,130,2.32,2.93,
성균관대,2024,학생부종합,학생부종합(학과모집),글로벌바이오메디컬공학과,10,52.3,39,2.35,2.44,
성균관대,2024,학생부종합,학생부종합(학과모집),독어독문학과,12,10.8,24,3.14,3.25,
성균관대,2024,학생부종합,학생부종합(학과모집),수학교육과,15,11.1,22,2.02,2.11,
성균관대,2024,학생부종합,학생부종합(학과모집),컴퓨터교육과,16,15.5,20,3.54,3.86,
성균관대,2024,학생부종합,학생부종합(학과모집),한문교육과,15,16.6,11,3.09,3.51,
성균관대,2025,학생부교과,학생부교과(학교장추천),경영학과,10,12.5,70,99.23,99.13,
성균관대,2025,학생부교과,학생부교과(학교장추천),교육학과,5,11,18,98.17,97.45,
성균관대,2025,학생부교과,학생부교과(학교장추천),국어국문학과,12,7.33,23,98.76,98.49,
성균관대,2025,학생부교과,학생부교과(학교장추천),글로벌경영학과,10,13.8,50,99.04,98.98,
성균관대,2025,학생부교과,학생부교과(학교장추천),글로벌경제학과,10,11.2,35,98.7,98.57,
성균관대,2025,학생부교과,학생부교과(학교장추천),글로벌리더학부,10,10.7,65,98.88,98.47,
성균관대,2025,학생부교과,학생부교과(학교장추천),글로벌융합학부,10,14.9,19,99.09,98.87,
성균관대,2025,학생부교과,학생부교과(학교장추천),사학과,12,6.75,21,98.73,98.56,
성균관대,2025,학생부교과,학생부교과(학교장추천),사회과학계열,17,13.06,99,98.94,98.7,
성균관대,2025,학생부교과,학생부교과(학교장추천),사회복지학과,20,7.6,35,98.48,98.37,
성균관대,2025,학생부교과,학생부교과(학교장추천),사회학과,20,9,54,98.89,98.7,
성균관대,2025,학생부교과,학생부교과(학교장추천),수학교육과,5,6,11,98.54,98.53,
성균관대,2025,학생부교과,학생부교과(학교장추천),심리학과,12,8.75,25,98.47,98.42,
성균관대,2025,학생부교과,학생부교과(학교장추천),아동청소년학과,20,8.75,24,98.55,98.36,
성균관대,2025,학생부교과,학생부교과(학교장추천),인문과학계열,16,9,59,98.83,98.63,
성균관대,2025,학생부교과,학생부교과(학교장추천),자유전공계열,20,13.9,31,98.79,98.71,
성균관대,2025,학생부교과,학생부교과(학교장추천),철학과,12,9.83,26,98.53,98.35,
성균관대,2025,학생부교과,학생부교과(학교장추천),컴퓨터교육과,5,11.6,7,98.85,98.81,
성균관대,2025,학생부교과,학생부교과(학교장추천),통계학과,12,9.67,27,98.89,98.8,
성균관대,2025,학생부교과,학생부교과(학교장추천),한문교육과,5,7.4,1,98.38,98.38,
성균관대,2025,학생부교과,학생부교과(학교장추천),한문학과,20,8.35,14,98.35,98.27,
성균관대,2025,학생부종합,학생부종합(과학인재),글로벌바이오메디컬공학과,20,13.15,36,4.65,4.86,
성균관대,2025,학생부종합,학생부종합(기회균형),사회과학계열,5,31.2,8,1.88,2.98,
성균관대,2025,학생부종합,학생부종합(기회균형),인문과학계열,6,18.5,9,2.94,3.39,
성균관대,2025,학생부종합,학생부종합(기회균형),자유전공계열,6,29.17,10,3.3,3.42,
성균관대,2025,학생부종합,학생부종합(융합형),경영학과,53,15.26,119,2.81,3.08,
성균관대,2025,학생부종합,학생부종합(융합형),글로벌융합학부,14,26.43,37,2.34,2.88,
성균관대,2025,학생부종합,학생부종합(융합형),사회과학계열,40,29.55,192,2.12,2.6,
성균관대,2025,학생부종합,학생부종합(융합형),인문과학계열,34,30.24,139,2.86,3.22,
성균관대,2025,학생부종합,학생부종합(탐구형),교육학과,15,15.27,17,2.5,3.1,
성균관대,2025,학생부종합,학생부종합(탐구형),글로벌경영학과,33,14.06,136,3.17,3.38,
성균관대,2025,학생부종합,학생부종합(탐구형),글로벌경제학과,35,10.74,62,3.21,3.38,
성균관대,2025,학생부종합,학생부종합(탐구형),글로벌리더학부,20,19.55,99,2.94,3.22,
성균관대,2025,학생부종합,학생부종합(탐구형),글로벌바이오메디컬공학과,11,30.82,42,2.56,3.35,
성균관대,2025,학생부종합,학생부종합(탐구형),독어독문학과,12,9.08,20,3.58,3.84,
성균관대,2025,학생부종합,학생부종합(탐구형),수학교육과,15,10,10,2.19,2.65,
성균관대,2025,학생부종합,학생부종합(탐구형),자유전공계열,114,29.39,206,3.14,3.5,
성균관대,2025,학생부종합,학생부종합(탐구형),컴퓨터교육과,15,15.53,18,3.86,3.94,
성균관대,2025,학생부종합,학생부종합(탐구형),한문교육과,15,11.87,7,2.96,3.53,
성균관대,2026,학생부교과,수시상세,경영학과,12,8.75,66,1.54,1.74,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,교육학과,5,16,25,1.73,1.76,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,국어국문학과,12,5.5,25,1.69,1.77,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,글로벌경영학과,10,11.6,39,1.54,1.61,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,글로벌경제학과,10,13.2,46,1.6,1.62,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,글로벌리더학부,10,14,79,1.6,1.62,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,글로벌바이오메디컬공학과,5,13.8,6,1.47,1.5,
성균관대,2026,학생부교과,수시상세,사학과,12,5.42,24,1.85,1.9,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,사회과학계열,20,12.3,110,1.54,1.58,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,사회복지학과,12,6.92,19,1.7,1.74,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,사회학과,12,6.42,18,1.67,1.73,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,수학교육과,5,11.8,21,1.67,1.72,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,심리학과,12,7.5,25,1.59,1.62,교과 · 학교장추천
성균관대,2026,학생부교과,수시상세,아동 청소년학과,12,5.25,18,1.73,1.75,교과 · 학교장추천
